file alignutt neighbors phonemeacc wordsutt
wyn01 -2142 7 0.2573 -1910
wyn02 -2503 5 0.1139 -2389
wyn03 -2411 1 0.0568 -2221
wyn04 -8365 2 -0.6792 -8546
wyn05 -4308 6 0.054 -3795
wyn06 -99999 -1 -5.0 -99999
wyn07 -99999 -1 -5.0 -99999
wyn08 -99999 3 -5.0 -99999
wyn09 -7456 4 -0.973 -7706
wyn10 -99999 -1 -5.0 -99999
wyn11 -99999 -1 -5.0 -99999
wyn12 -99999 -1 -5.0 -99999
wyn13 -6943 3 -0.4902 -7205
wyn14 -3178 2 -0.3264 -2968
wyn15 -99999 -1 -5.0 -99999
wyn16 -3113 3 -0.5233 -2921
wyn17 -99999 4 -5.0 -99999
wyn18 -3666 2 -0.2835 -3640
wyn19 -3936 7 0.1914 -3206
wyn20 -4099 5 -0.0464 -4393
wyn21 -1529 6 0.7456 -1284
wyn22 -1933 5 0.376 -1613
wyn23 -5433 2 -0.6791 -5869
wyn24 -99999 5 -5.0 -99999
wyn25 -99999 3 -5.0 -3837
wyn26 -2377 4 0.6419 -2281
wyn27 -99999 4 -5.0 -99999
wyn28 -4454 4 -0.3129 -3958
wyn29 -2272 8 0.078 -1618
wyn30 -3383 6 0.2381 -2929
wyn31 -4208 6 0.4457 -3760
wyn32 -2240 7 0.5746 -2046
wyn33 -99999 -1 -5.0 -99999
wyn34 -99999 -1 -5.0 -99999
wyn35 -99999 -1 -5.0 -99999
wyn36 -99999 -1 -5.0 -99999
wyn37 -3870 6 0.0588 -3328
wyn38 -2673 7 -0.0232 -2208
wyn39 -1811 7 0.6192 -1541
wyn40 -5913 3 -0.3819 -5839
wyn41 -3561 5 -0.0297 -2375
wyn42 -99999 -1 -5.0 -99999
wyn43 -6565 3 -0.9601 -99999
wyn44 -3482 4 0.1167 -3337
wyn45 -3306 7 0.1432 -2645
wyn46 -2300 6 0.1888 -1750
wyn47 -3665 6 0.2689 -3250
wyn48 -2797 7 0.5712 -2837
wyn49 -2587 6 0.3426 -1839
wyn50 -99999 -1 -5.0 -99999
wyn51 -99999 7 -5.0 -3385
wyn52 -2695 3 -0.1897 -2454
wyn53 -3028 7 0.2962 -2856
wyn54 -99999 1 -5.0 -99999
wyn55 -2389 6 0.2285 -2114
wyn56 -2002 4 0.4003 -1842
wyn57 -2732 3 -0.0501 -2765
wyn58 -3239 5 -0.284 -2932
wyn59 -99999 5 -5.0 -99999
wyn60 -2590 4 0.1438 -2148
wyn61 -3609 0 -0.5169 -3488
wyn62 -3288 6 0.26 -2463
wyn63 -2534 6 0.5652 -2354
wyn64 -2665 6 0.1681 -99999
wyn65 -4317 5 0.0963 -3782
wyn66 -5640 6 -0.0674 -4812
wyn67 -5880 6 -0.0407 -5820
wyn68 -99999 -1 -5.0 -99999
wyn69 -5074 4 -0.3631 -4461
wyn70 -99999 3 -5.0 -99999
wyn71 -99999 4 -5.0 -99999
wyn72 -3172 3 -0.3568 -3141
wyn73 -3789 4 -0.035 -3364
wyn74 -2412 6 0.0413 -2865
wyn75 -99999 2 -5.0 -99999
wyn76 -3305 4 0.01 -3599
wyn77 -2932 3 -0.2204 -3051
wyn78 -99999 4 -5.0 -99999
wyn79 -6461 2 -0.5169 -6113
wyn80 -2411 1 0.0568 -2221
