w ah t s y uh r n ey m 
-208 -141 -76 -175 -183 -151 -77 -146 -487 -134 
-89 -62 -390 -447 -217 -109 -154 -208 -267 -90 
-364 -271 -111 -210 -99 -100 -111 -262 -304 -213 
-1148 -693 -279 -637 -99 -80 -176 -276 -334 -287 
-68 -170 -137 -78 -199 -105 -180 -171 -976 -255 
-279 -149 -621 -406 -195 -274 -151 -837 -676 -158 
-1230 -260 -301 -322 -267 -80 -174 -376 -308 -99 
-142 -61 -317 -127 -558 -150 -237 -136 -574 -335 
-396 -253 -107 -107 -168 -165 -243 -609 -386 -467 
-179 -175 -206 -155 -177 -124 -1329 -176 -215 -267 
-66 -74 -245 -87 -250 -80 -122 -410 -232 -421 
-300 -75 -730 -213 -145 -101 -187 -126 -297 -225 
-77 -74 -173 -159 -151 -183 -103 -143 -95 -93 
-89 -73 -110 -154 -226 -204 -141 -144 -248 -130 
-123 -1010 -215 -663 -104 -148 -179 -236 -390 -560 
-77 -68 -142 -75 -146 -61 -323 -213 -254 -116 
-107 -140 -158 -320 -145 -464 -105 -237 -396 -287 
-177 -154 -117 -239 -415 -70 -92 -202 -258 -249 
-81 -143 -170 -91 -96 -88 -161 -183 -458 -478 
-76 -108 -161 -140 -140 -94 -118 -105 -279 -370 
-85 -63 -133 -84 -185 -239 -150 -86 -192 -189 
-70 -103 -115 -117 -268 -117 -242 -412 -334 -181 
-125 -86 -122 -194 -342 -196 -115 -208 -427 -162 
-79 -90 -132 -93 -168 -140 -113 -179 -208 -115 
-351 -600 -79 -164 -138 -396 -184 -194 -140 -707 
-67 -127 -277 -188 -268 -163 -168 -219 -250 -210 
-400 -505 -121 -166 -307 -358 -1291 -270 -352 -215 
-186 -134 -147 -121 -87 -165 -246 -229 -213 -328
-82 -86 -142 -136 -208 -118 -101 -473 -312 -228 
-80 -115 -125 -110 -268 -61 -217 -308 -208 -440 
-263 -73 -153 -90 -273 -96 -363 -123 -320 -104 
-84 -88 -67 -76 -285 -126 -157 -171 -227 -140 
-68 -56 -153 -153 -292 -98 -91 -184 -393 -207 
-92 -139 -218 -142 -126 -167 -195 -597 -333 -275 
-66 -252 -305 -123 -59 -230 -170 -211 -176 -162 
-92 -50 -92 -76 -175 -128 -170 -388 -566 -213 
-132 -65 -168 -329 -104 -132 -123 -155 -274 -112 
-123 -78 -454 -227 -433 -85 -177 -318 -158 -169 
-137 -104 -84 -167 -191 -169 -219 -615 -253 -635 
-71 -78 -325 -132 -330 -159 -143 -136 -148 -438 
-568 -672 -259 -465 -129 -177 -144 -182 -229 -255 
-80 -85 -161 -125 -319 -122 -113 -221 -389 -116 
-260 -266 -83 -100 -53 -83 -158 -260 -223 -116 
-277 -76 -125 -89 -95 -172 -493 -222 -181 -259 
-89 -151 -173 -151 -113 -227 -221 -163 -469 -122 
-84 -102 -180 -140 -178 -152 -107 -288 -346 -659 
-69 -67 -3617 -380 -182 -140 -92 -107 -109 -399 
-122 -114 -203 -241 -84 -153 -252 -351 -628 -499 
-412 -120 -292 -101 -183 -298 -246 -259 -191 -405 
-72 -570 -106 -126 -73 -74 -158 -403 -489 -550 
-106 -147 -182 -89 -180 -134 -226 -442 -261 -178 
-84 -103 -408 -125 -175 -308 -158 -188 -263 -163 
-151 -221 -277 -89 -147 -83 -125 -503 -554 -398 
-1112 -191 -208 -264 -107 -87 -1481 -178 -160 -494 
-364 -271 -111 -210 -99 -100 -111 -262 -304 -213 
