w ah t s y uh r n ey m 
-0.458 -0.050 +1.346 -0.170 -0.141 -0.203 +1.396 +0.978 -1.141 +1.016 
+0.627 +1.102 -1.139 -1.885 -0.482 +0.499 +0.261 +0.254 +0.183 +1.719 
-1.177 -0.971 +0.774 -0.503 +1.090 +0.683 +0.798 -0.218 -0.102 +0.194 
-2.656 -2.297 -0.628 -2.533 +1.090 +1.162 +0.041 -0.325 -0.310 -0.336 
+0.970 -0.313 +0.454 +1.300 -0.308 +0.579 +0.004 +0.655 -2.675 -0.126 
-0.836 -0.128 -1.849 -1.709 -0.268 -1.489 +0.292 -2.600 -1.866 +0.723 
-2.745 -0.913 -0.743 -1.285 -0.899 +1.162 +0.059 -0.958 -0.131 +1.551 
+0.031 +1.125 -0.823 +0.414 -2.382 -0.188 -0.449 +1.122 -1.503 -0.611 
-1.286 -0.873 +0.829 +0.726 +0.031 -0.394 -0.490 -1.947 -0.628 -1.201 
-0.266 -0.353 -0.167 +0.051 -0.074 +0.222 -3.296 +0.595 +0.661 -0.208 
+1.008 +0.856 -0.430 +1.102 -0.766 +1.162 +0.643 -1.137 +0.493 -1.017 
-0.928 +0.836 -2.095 -0.529 +0.326 +0.662 -0.059 +1.278 -0.051 +0.096 
+0.812 +0.856 +0.099 +0.005 +0.245 -0.617 +0.921 +1.019 +2.454 +1.662 
+0.627 +0.874 +0.786 +0.063 -0.564 -0.851 +0.405 +1.004 +0.347 +1.069 
+0.215 -2.831 -0.231 -2.606 +0.992 -0.160 +0.013 -0.005 -0.652 -1.526 
+0.812 +0.973 +0.399 +1.370 +0.314 +1.741 -0.960 +0.205 +0.294 +1.271 
+0.393 -0.040 +0.237 -1.272 +0.326 -2.627 +0.889 -0.013 -0.686 -0.336 
-0.252 -0.173 +0.693 -0.740 -1.787 +1.446 +1.104 +0.314 +0.258 -0.083 
+0.747 -0.069 +0.125 +1.019 +1.151 +0.957 +0.186 +0.515 -1.006 -1.244 
+0.829 +0.326 +0.208 +0.236 +0.396 +0.816 +0.697 +1.650 +0.086 -0.787 
+0.687 +1.080 +0.499 +1.164 -0.163 -1.194 +0.304 +2.055 +0.908 +0.406 
+0.933 +0.392 +0.719 +0.562 -0.907 +0.345 -0.484 -1.145 -0.310 +0.483 
+0.194 +0.645 +0.630 -0.359 -1.398 -0.765 +0.739 +0.254 -0.851 +0.679 
+0.780 +0.581 +0.511 +0.981 +0.031 -0.041 +0.769 +0.561 +0.734 +1.285 
-1.131 -2.094 +1.288 -0.052 +0.427 -2.284 -0.032 +0.396 +1.602 -1.939 
+0.988 +0.098 -0.618 -0.302 -0.907 -0.368 +0.117 +0.147 +0.329 +0.219 
-1.298 -1.851 +0.642 -0.074 -1.180 -2.065 -3.248 -0.280 -0.425 +0.178 
-0.315 +0.023 +0.347 +0.502 +1.349 -0.394 -0.510 +0.057 +0.681 -0.573 
+0.732 +0.645 +0.399 +0.289 -0.397 +0.328 +0.952 -1.429 -0.159 +0.072 
+0.764 +0.237 +0.593 +0.674 -0.907 +1.741 -0.303 -0.549 +0.734 -1.096 
-0.760 +0.874 +0.286 +1.039 -0.944 +0.770 -1.152 +1.327 -0.215 +1.464 
+0.701 +0.612 +1.535 +1.346 -1.030 +0.187 +0.228 +0.655 +0.541 +0.937 
+0.970 +1.244 +0.286 +0.074 -1.079 +0.727 +1.123 +0.505 -0.668 +0.244 
+0.585 -0.030 -0.252 +0.210 +0.608 -0.420 -0.128 -1.908 -0.303 -0.259 
+1.008 -0.867 -0.765 +0.473 +2.122 -1.109 +0.097 +0.223 +1.101 +0.679 
+0.585 +1.401 +1.057 +1.346 -0.050 +0.152 +0.097 -1.024 -1.473 +0.194 
+0.125 +1.036 +0.144 -1.324 +0.992 +0.087 +0.630 +0.854 +0.126 +1.333 
+0.215 +0.782 -1.370 -0.645 -1.872 +1.032 +0.031 -0.615 +1.337 +0.604 
+0.077 +0.378 +1.194 -0.085 -0.225 -0.446 -0.320 -1.967 +0.303 -1.749 
+0.915 +0.782 -0.861 +0.344 -1.325 -0.314 +0.381 +1.122 +1.481 -1.087 
-1.750 -2.254 -0.515 -1.957 +0.560 -0.546 +0.370 +0.528 +0.521 -0.126 
+0.764 +0.662 +0.208 +0.443 -1.256 +0.256 +0.769 +0.129 -0.646 +1.271 
-0.745 -0.944 +1.213 +0.849 +2.333 +1.082 +0.218 -0.204 +0.579 +1.271 
-0.827 +0.817 +0.593 +1.060 +1.173 -0.483 -1.658 +0.121 +1.039 -0.154 
+0.627 -0.146 +0.099 +0.098 +0.826 -1.081 -0.335 +0.752 -1.059 +1.182 
+0.701 +0.405 +0.040 +0.236 -0.084 -0.216 +0.858 -0.412 -0.387 -1.815 
+0.952 +0.993 -4.542 -1.588 -0.128 -0.041 +1.104 +1.611 +2.153 -0.921 
+0.225 +0.249 -0.144 -0.755 +1.417 -0.231 -0.550 -0.819 -1.702 -1.321 
-1.336 +0.177 -0.697 +0.830 -0.141 -1.669 -0.510 -0.196 +0.922 -0.948 
