w ah t s y uh r n ey m 
-1.858 -1.133 -0.777 -0.508 +1.563 -0.979 +0.184 -0.905 +1.471 -0.131 
-0.692 -0.605 +1.508 -1.045 +0.169 -0.979 -0.895 -1.384 +0.503 -0.851 
+0.848 -0.605 -0.182 -1.045 +0.536 -0.411 -0.529 +0.031 -0.539 -1.125 
+1.898 +2.450 -1.198 -1.045 +0.536 -0.411 +0.353 -0.532 +0.174 +0.222 
-0.433 +0.426 +0.044 -1.045 -0.857 +0.031 -0.895 -0.532 +1.434 +0.411 
-1.858 -1.133 +2.178 +1.550 -0.857 +0.393 -0.012 +2.224 -0.025 -0.627 
+2.658 +1.702 +1.060 +0.541 +2.508 +0.393 -0.895 +0.787 +1.275 -1.476 
-0.692 -0.194 +0.952 +1.011 +1.929 -0.979 -0.529 +0.253 +0.644 +0.496 
-1.375 -1.133 -1.198 -0.508 +0.169 +1.592 -0.895 +1.513 -0.258 +1.170 
-1.858 -1.133 -0.777 -0.508 -0.857 -0.979 +2.435 -1.384 -2.070 +0.649 
-0.433 -0.605 +0.412 +0.253 -0.857 +0.393 -0.245 +1.066 +0.644 +1.345 
+1.245 -0.605 +2.403 -0.508 +2.629 +0.698 +1.237 +0.628 +0.503 +0.719 
-0.011 -0.605 +0.568 +0.541 -0.857 -0.411 +0.638 +0.253 +0.348 -1.476 
-0.433 -0.605 -0.450 -1.045 +0.846 +2.206 -0.895 +0.031 +0.644 -0.851 
-1.375 +3.225 -1.198 -1.045 +0.169 +0.031 +0.184 -1.384 -1.359 +1.261 
-0.011 -0.194 -1.198 +0.541 -0.857 +0.393 +0.972 -1.384 +0.265 -1.125 
-1.000 -0.605 -0.450 -0.090 -0.857 +2.566 -0.895 -1.384 -0.025 -0.851 
-0.692 +0.143 -0.182 +1.550 +0.536 -0.411 -0.012 +0.451 -1.104 +0.222 
+0.167 +0.426 -0.777 -0.508 +0.846 +0.393 +0.503 +0.253 -0.889 +1.072 
-0.011 +0.143 -0.777 +1.011 +1.563 +0.961 -0.895 +0.451 -0.137 +1.170 
-0.692 +0.143 +0.044 +0.253 -0.857 -0.979 +0.638 +0.253 +0.265 -1.476 
-0.692 -0.194 -0.182 +1.700 +0.536 +0.031 +1.237 +0.628 +0.644 -1.476 
-1.000 +0.426 -0.777 +0.790 -0.857 -0.979 +0.503 -0.532 -0.137 -0.627 
-0.011 +0.143 +0.044 +0.541 -0.857 +0.031 +0.972 -1.384 -0.258 -0.275 
+0.848 +1.702 -0.450 +0.253 +0.169 +1.404 -0.895 -1.384 +0.770 +0.785 
-0.692 +0.426 -0.182 -0.508 -0.857 -0.411 -0.529 -0.226 +0.174 +0.496 
+0.608 +1.566 -0.450 -1.045 +0.536 +2.964 +3.285 -0.532 -2.070 -1.476 
+0.848 +0.889 +0.835 +0.790 +1.113 +0.393 -0.895 -1.384 +0.830 -0.001 
+0.167 +0.426 -0.182 -1.045 -0.857 +0.031 +0.503 +0.031 +0.078 +0.496 
+0.327 -1.133 +0.044 -0.090 -0.857 +0.031 -0.012 -0.532 +0.576 +1.345 
+1.774 -1.133 +0.044 +0.541 -0.857 +0.961 +0.503 -0.905 +1.434 -0.851 
-0.011 -0.605 -0.182 -1.045 -0.857 -0.979 -0.245 +0.253 +0.503 -0.001 
-0.433 -0.194 -0.182 -1.045 -0.857 -0.411 -0.895 +0.628 +0.708 -1.476 
+0.473 +0.143 -0.450 -0.090 -0.857 -0.979 -0.895 +2.159 +0.830 +1.425 
-0.692 +0.426 +0.707 -1.045 -0.280 -0.979 +0.353 -0.226 +1.231 -0.438 
